"Activity name","Activity status","Error","Activity type","Run start","Duration","Integration runtime","User properties","Activity run ID","Log"
"Copy data","Succeeded","","Copy","10/28/2025, 11:12:40 AM","18s","AutoResolveIntegrationRuntime (South India)","{}","fbb42267-410a-4df5-9fad-35693b6f98ab",""
"Copy data","Succeeded","","Copy","10/28/2025, 11:12:24 AM","16s","AutoResolveIntegrationRuntime (South India)","{}","1ae866f4-db3e-4fb2-ae37-d6773a976efa",""
"Copy data","Succeeded","","Copy","10/28/2025, 11:12:09 AM","14s","AutoResolveIntegrationRuntime (South India)","{}","76f68e0e-0be9-4971-9d92-f409783304d3",""
"Copy data","Succeeded","","Copy","10/28/2025, 11:11:54 AM","15s","AutoResolveIntegrationRuntime (South India)","{}","e2980bfb-9cc1-4e3f-9a47-89b26724baff",""
"Copy data","Succeeded","","Copy","10/28/2025, 11:11:36 AM","17s","AutoResolveIntegrationRuntime (South India)","{}","f34c0883-40c5-47de-b833-84d6a0d202c5",""
"Copy data","Succeeded","","Copy","10/28/2025, 11:11:18 AM","17s","AutoResolveIntegrationRuntime (South India)","{}","f6fa6a2f-8a71-49b4-8920-d1ed3029f777",""
"Copy data","Succeeded","","Copy","10/28/2025, 11:11:00 AM","17s","AutoResolveIntegrationRuntime (South India)","{}","22d189c5-2413-488c-b761-11adb3f63759",""
"Copy data","Succeeded","","Copy","10/28/2025, 11:10:44 AM","16s","AutoResolveIntegrationRuntime (South India)","{}","d20f07ce-52e1-4a1e-8c1b-448fa02477cb",""
"Copy data","Succeeded","","Copy","10/28/2025, 11:10:28 AM","15s","AutoResolveIntegrationRuntime (South India)","{}","c928573e-760d-46af-877a-3a4c1955a04c",""
"Copy data","Succeeded","","Copy","10/28/2025, 11:10:09 AM","18s","AutoResolveIntegrationRuntime (South India)","{}","7c5eb4a6-4498-46da-acbe-8eca9e6e5ef1",""
"ForEach_iteration","Succeeded","","ForEach","10/28/2025, 11:10:09 AM","2m 51s","","{}","d0dc604c-2377-4bf1-91de-4f83b7db5305",""
"Lookup_config","Succeeded","","Lookup","10/28/2025, 11:10:03 AM","5s","AutoResolveIntegrationRuntime (South India)","{}","67c03578-bedf-4c2f-a1d1-832d61b8e5e1",""